AverageTemperature,City,Country,Month,Year
27.66,2,Mexico,10,1905
28.003,2,Mexico,11,1905
24.526,2,Mexico,12,1905
23.477,2,Mexico,1,1906
22.952,2,Mexico,2,1906
24.108,2,Mexico,3,1906
24.296,2,Mexico,4,1906
26.515,2,Mexico,5,1906
27.273,2,Mexico,6,1906
27.605,2,Mexico,7,1906
26.922,2,Mexico,8,1906
26.897,2,Mexico,9,1906
26.885,2,Mexico,10,1906
26.063,2,Mexico,11,1906
24.83,2,Mexico,12,1906
24.796,2,Mexico,1,1907
23.752,2,Mexico,2,1907
23.953,2,Mexico,3,1907
24.242,2,Mexico,4,1907
26.005,2,Mexico,5,1907
27.096,2,Mexico,6,1907
27.031,2,Mexico,7,1907
26.909,2,Mexico,8,1907
26.754,2,Mexico,9,1907
27.047,2,Mexico,10,1907
27.066,2,Mexico,11,1907
24.958,2,Mexico,12,1907
25.053,2,Mexico,1,1908
24.904,2,Mexico,2,1908
25.063,2,Mexico,3,1908
24.796,2,Mexico,4,1908
25.628,2,Mexico,5,1908
27.311,2,Mexico,6,1908
26.575,2,Mexico,7,1908
27.1,2,Mexico,8,1908
26.771,2,Mexico,9,1908
26.081,2,Mexico,10,1908
25.882,2,Mexico,11,1908
25.996,2,Mexico,12,1908
24.291,2,Mexico,1,1909
24.271,2,Mexico,2,1909
25.138,2,Mexico,3,1909
24.853,2,Mexico,4,1909
27.053,2,Mexico,5,1909
27.387,2,Mexico,6,1909
27.775,2,Mexico,7,1909
27.19,2,Mexico,8,1909
26.056,2,Mexico,9,1909
26.651,2,Mexico,10,1909
26.742,2,Mexico,11,1909
25.616,2,Mexico,12,1909
23.873,2,Mexico,1,1910
24.327,2,Mexico,2,1910
22.579,2,Mexico,3,1910
24.001,2,Mexico,4,1910
25.321,2,Mexico,5,1910
26.489,2,Mexico,6,1910
26.844,2,Mexico,7,1910
27.312,2,Mexico,8,1910
26.451,2,Mexico,9,1910
26.495,2,Mexico,10,1910
26.552,2,Mexico,11,1910
24.966,2,Mexico,12,1910
25.034,2,Mexico,1,1911
24.865,2,Mexico,2,1911
24.173,2,Mexico,3,1911
24.651,2,Mexico,4,1911
24.789,2,Mexico,5,1911
27.359,2,Mexico,6,1911
26.823,2,Mexico,7,1911
27.404,2,Mexico,8,1911
27.434,2,Mexico,9,1911
27.292,2,Mexico,10,1911
27.911,2,Mexico,11,1911
25.832,2,Mexico,12,1911
